quarter,ws,fab1,fab2,fab3
Q1'26,A,50,35,0
Q1'26,B,25,30,0
Q1'26,C,0,0,40
Q1'26,D,50,50,35
Q1'26,E,40,30,16
Q1'26,F,90,60,36
Q1'26,A+,0,0,0
Q1'26,B+,8,0,0
Q1'26,C+,0,0,0
Q1'26,D+,2,0,0
Q1'26,E+,0,0,9
Q1'26,F+,0,0,0
Q2'26,A,50,35,0
Q2'26,B,25,30,0
Q2'26,C,0,0,40
Q2'26,D,50,50,35
Q2'26,E,40,30,16
Q2'26,F,90,60,36
Q2'26,A+,0,0,0
Q2'26,B+,8,0,0
Q2'26,C+,1,11,1
Q2'26,D+,2,0,0
Q2'26,E+,0,1,11
Q2'26,F+,0,0,0
Q3'26,A,50,35,0
Q3'26,B,25,30,0
Q3'26,C,0,0,40
Q3'26,D,50,50,35
Q3'26,E,40,30,16
Q3'26,F,90,60,36
Q3'26,A+,0,0,0
Q3'26,B+,8,0,0
Q3'26,C+,8,29,1
Q3'26,D+,2,0,0
Q3'26,E+,3,14,12
Q3'26,F+,0,0,0
Q4'26,A,50,35,0
Q4'26,B,25,30,0
Q4'26,C,0,0,40
Q4'26,D,50,50,35
Q4'26,E,40,30,16
Q4'26,F,90,60,36
Q4'26,A+,0,0,0
Q4'26,B+,8,0,0
Q4'26,C+,10,36,1
Q4'26,D+,2,0,0
Q4'26,E+,5,20,12
Q4'26,F+,0,0,0
Q1'27,A,50,35,0
Q1'27,B,25,30,0
Q1'27,C,0,0,40
Q1'27,D,50,50,35
Q1'27,E,40,30,16
Q1'27,F,90,60,36
Q1'27,A+,0,0,0
Q1'27,B+,8,0,0
Q1'27,C+,20,36,1
Q1'27,D+,2,0,0
Q1'27,E+,14,20,12
Q1'27,F+,0,0,0
Q2'27,A,50,35,0
Q2'27,B,25,30,0
Q2'27,C,0,0,40
Q2'27,D,50,50,35
Q2'27,E,40,30,16
Q2'27,F,90,60,36
Q2'27,A+,0,0,0
Q2'27,B+,8,0,0
Q2'27,C+,20,36,1
Q2'27,D+,2,0,0
Q2'27,E+,14,20,12
Q2'27,F+,0,0,0
Q3'27,A,50,35,0
Q3'27,B,25,30,0
Q3'27,C,0,0,40
Q3'27,D,50,50,35
Q3'27,E,40,30,16
Q3'27,F,90,60,36
Q3'27,A+,0,0,0
Q3'27,B+,8,0,0
Q3'27,C+,20,36,1
Q3'27,D+,2,0,0
Q3'27,E+,14,20,12
Q3'27,F+,0,0,0
Q4'27,A,50,35,0
Q4'27,B,25,30,0
Q4'27,C,0,0,40
Q4'27,D,50,50,35
Q4'27,E,40,30,16
Q4'27,F,90,60,36
Q4'27,A+,0,0,0
Q4'27,B+,8,0,0
Q4'27,C+,27,36,1
Q4'27,D+,2,0,0
Q4'27,E+,14,20,12
Q4'27,F+,0,0,0
